   1: (1+2)*(7-17+21)-32
   2: 1+2-7+17+21-32
   3: 1+(2-7-17)/(21-32)
   4: 1+2+7-17-21+32
   5: 1-(2+7)*(17-21)-32
   6: 1-2*(7+17)+21+32
   7: 1+2+7*(17-21)+32
   8: (1-2+7)*(17-21)+32
   9: 1+(2+7/(17-21))*32
  10: 1-2*(7-17)+21-32
  11: 1-2*(7-17+21)+32
  12: 1+(2-7+17*21)/32
  13: 1-(2-7)*(17-21)+32
  14: 1/2/(7+17)*21*32
  15: (1+2)*7-17-21+32
  16: 1+2+7+17+21-32
  17: 1/2*(7*17-21)-32
  18: 1/2*7*(17-21)+32
  19: (1+2)*(7+17)-21-32
  20: 1-2-7+17-21+32
  21: 1+2*7+17+21-32
  22: (1+2*7-17)*(21-32)
  23: (1+2)*(7-17)+21+32
  24: 1+2-7+17-21+32
  25: 1-2*7*(17-21)-32
  26: 1*2*(7+17+21-32)
  27: 1+2*(7+17+21-32)
  28: (1+(2-7)*17)/21+32
  29: (1-2)*(7+17)+21+32
  30: (1+2)/7*(17+21+32)
  31: (1+2-7-17)/21+32
  32: 1+2-7-17+21+32
  33: (1+2-7)/(17-21)+32
  34: 1+2*(7-17)+21+32
  35: (1+2*7)*(17+32)/21
  36: (1+2/7)*(17-21+32)
  37: 1*2+7+17-21+32
  38: 1+2+7+17-21+32
  39: (1+2)*(7+17+21-32)
  40: (1+2+7/(17-21))*32
  41: 1+(2-7)/(17-21)*32
  42: 1-2+7-17+21+32
  43: 1+2*7+17-21+32
  44: 1*2+7*(17+21-32)
  45: 1+2+7*(17+21-32)
  46: 1+2+7-17+21+32
  47: 1/2*(7+21+32)+17
  48: (1+2-7)*(17-21)+32
  49: (1+2)*7+17-21+32
  50: (1-2/7)*(17+21+32)
  51: 1+2*7-17+21+32
  52: ((1+2)*7-17)*21-32
  53: 1+(2-7)*(17-21)+32
  54: 1*(2+7)*(17+21-32)
  55: 1+(2+7)*(17+21-32)
  56: (1-2)*7/(17-21)*32
  57: (1+2)*7-17+21+32
  58: 1*2-7/(17-21)*32
  59: 1+2-7/(17-21)*32
  60: (1+2+7)*(17+21-32)
  61: (1+2)*(7+17)+21-32
  62: 1-2-7+17+21+32
  63: 1+2-7*(17-21)+32
  64: (1+2*(7-17)+21)*32
  65: (1+2)*(7-17+21)+32
  66: 1+2-7+17+21+32
  67: 1-2-(7+21-32)*17
  68: 1*2+7*17-21-32
  69: 1+2+7*17-21-32
  70: 1*2*(7+17-21+32)
  71: 1+2*(7+17-21+32)
  72: (1+(2-7)/(17-21))*32
  73: 1-(2+7)/(17-21)*32
